question_code,正答率,選択率1,選択率2,選択率3,選択率4,選択率5,識別値,70%以上のフラグ
113A062,48.5,8.9,48.5,21.9,20.7,,0.28,×
113A063,36.1,36.1,30.8,14.2,18.9,,0.17,×
113A064,77.9,0.5,77.9,0.4,21.2,,0.23,〇
113A065,93.5,93.5,5.6,0.7,0.2,,0.21,〇
113A066,92.3,0.7,2,92.3,4.9,,0.19,〇
113A067,96.6,1.9,96.6,1,0.6,,0.14,〇
113A068,70.2,13.7,4.9,70.2,11.2,,0.36,〇
113A069,86.7,86.7,7.5,3.8,2,,0.25,〇
113A070,78.2,4.1,4.6,13,78.2,,0.24,〇
113A071,91.7,6.4,91.7,0.7,1.2,,0.26,〇
113A072,68.6,5.4,2.7,68.6,23.2,,0.19,×
113A073,92.9,3.7,92.9,2.7,0.6,,0.25,〇
113A074,91.1,91.1,8.4,0.1,0.4,,0.08,〇
113A075,59.9,6.8,1.5,26.7,59.9,5.1,0.15,×
113A076,17,42,8.5,17,25.9,6.6,0.16,×
113A077,10.7,0.4,87.9,0.8,10.7,0.2,0.19,×
113A078,82.7,82.7,2.9,5.1,7.4,1.8,0.24,〇
113A079,30.5,2.1,31.6,30.5,30.9,4.9,0.28,×
113A080,41.3,18.1,6.5,41.3,14.1,20,0.45,×
113A081,73.7,13.4,6.6,73.7,4,2.2,0.15,〇
113A082,19.5,19.5,45,11.2,14.3,10,0.31,×
113A083,75.5,11.7,1.5,12.3,85.2,89.3,0.31,〇
113A084,43.8,15,13.4,50.6,90,31,0.44,×
113A085,69.8,6.8,78.1,15.3,9.6,90.2,0.30,×
113A086,70.8,7.1,6.3,90.2,17.8,78.6,0.32,〇
113A087,70.3,7.5,14.9,85.3,9.7,82.5,0.23,〇
113A088,41.1,28.9,43,22.1,92,14,0.48,×
113A089,97.5,0.7,1.4,0.8,99.2,97.9,0.16,〇
113A090,87.9,99.5,88.1,0.7,7.2,4.6,0.11,〇
113A091,67,4.6,11.7,67,16.8,,0.30,×
113A092,84.2,2.4,7.1,6.9,85.6,97.9,0.27,〇
113A093,60.4,26.2,60.4,7.9,5.5,,0.37,×
113A094,88,6.5,88,4.1,1.5,,0.35,〇
113A095,92.2,5,0.7,2.1,92.2,,0.15,〇
113A096,89.4,9.4,0.8,89.4,0.3,,0.11,〇
113A097,91.6,0.4,91.6,7.1,0.9,,0.21,〇
113A098,60.6,0.5,38.1,0.8,60.6,,0.34,×
113A099,93.4,4.8,0.5,93.4,1.3,,0.03,〇
113A100,87.9,1.3,8.7,87.9,2.1,,0.23,〇
113A101,91.1,0.8,91.1,6.2,1.9,,0.20,〇
113A102,96.4,0.2,1.7,96.4,1.6,,0.07,〇
113A103,64.7,6.4,64.7,3.8,25.1,,0.25,×
113A104,46.3,17.7,24.3,11.6,46.3,,0.11,×
